id,text,quote,picture,hashtag,date.time,dow,tod,sentimentanger,sentimentanticipation,sentimentdisgust,sentimentfear,sentimentjoy,sentimentnegative,sentimentpositive,sentimentsadness,sentimentsurprise,sentimenttrust,trump
839268048313929729,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!,FALSE,FALSE,FALSE,2017-03-08T05:14:30Z,Wed,19,1,0,1,1,1,1,1,1,1,1,not trump
839116941956640768,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",FALSE,FALSE,FALSE,2017-03-07T19:14:03Z,Tues,9,0,0,0,0,0,1,1,0,1,0,trump
839110000870109184,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!,FALSE,FALSE,FALSE,2017-03-07T18:46:28Z,Tues,8,0,1,0,0,0,1,1,0,0,1,trump
839108868584124417,"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2  3 of healthcare rollout. @foxandfriends",FALSE,FALSE,FALSE,2017-03-07T18:41:58Z,Tues,8,0,1,0,1,0,1,0,1,0,0,trump
839101660886614016,"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends",FALSE,FALSE,FALSE,2017-03-07T18:13:20Z,Tues,8,0,0,0,0,0,0,1,0,0,1,trump
839086723552411648,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!,FALSE,FALSE,FALSE,2017-03-07T17:13:59Z,Tues,7,1,0,1,1,1,1,1,1,1,1,trump
839084268991229952,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",FALSE,FALSE,FALSE,2017-03-07T17:04:13Z,Tues,7,1,0,1,1,0,1,0,1,0,0,trump
838960097674002432,"Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing  construction jobs in the USA!",FALSE,FALSE,FALSE,2017-03-07T08:50:49Z,Tues,22,0,0,0,0,0,0,0,0,0,0,not trump
838959869772328960,"Buy American  hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.",FALSE,FALSE,FALSE,2017-03-07T08:49:54Z,Tues,22,0,1,0,0,1,0,1,0,0,1,not trump
838899465390018560,There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS! ,FALSE,TRUE,FALSE,2017-03-07T04:49:53Z,Mon,18,0,1,0,0,1,0,1,0,1,1,not trump
838862312685637640,"45,000 construction  manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!",FALSE,FALSE,FALSE,2017-03-07T02:22:15Z,Mon,16,0,1,1,0,1,0,1,1,1,1,not trump
838861512999649286,"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
",FALSE,TRUE,FALSE,2017-03-07T02:19:04Z,Mon,16,0,0,0,0,0,0,1,0,1,1,not trump
838441522546769923,Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!,FALSE,FALSE,FALSE,2017-03-05T22:30:11Z,Sun,12,0,0,0,0,0,0,0,0,0,0,not trump
838353481526312961,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",FALSE,FALSE,FALSE,2017-03-05T16:40:20Z,Sun,6,0,0,0,0,0,0,1,0,0,1,trump
838351476401520640,Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?,FALSE,FALSE,FALSE,2017-03-05T16:32:22Z,Sun,6,0,0,0,0,1,0,1,0,0,1,trump
