id,source,text,created
880049704620494848,iPhone,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!",2017-06-28T13:06:14Z
880017678978736129,iPhone,"Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong, I know the subject well &amp; want victory for U.S.",2017-06-28T10:58:59Z
880015261004435456,iPhone,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!,2017-06-28T10:49:22Z
879828637733793793,iPhone,"I just finished a great meeting with the Republican Senators concerning HealthCare. They really want to get it right, unlike OCare!",2017-06-27T22:27:48Z
879827411008974852,iPhone,"With ZERO Democrats to help, and a failed, expensive and dangerous ObamaCare as the Dems legacy, the Republican Senators are working hard!",2017-06-27T22:22:55Z
879682547235651584,iPhone,"So they caught Fake News CNN cold, but what about NBC, CBS &amp; ABC? What about the failing @nytimes &amp; @washingtonpost? They are all Fake News!",2017-06-27T12:47:17Z
879678356450676736,iPhone,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!,2017-06-27T12:30:38Z
879648931172556802,iPhone,"Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!",2017-06-27T10:33:42Z
879527520957325314,iPhone,"Great day for America's future Security and Safety, courtesy of the U.S. Supreme Court. I will keep fighting for the American people, &amp; WIN!",2017-06-27T02:31:16Z
879525817361068032,iPhone,"From @FoxNews ""Bombshell: In 2016, Obama dismissed idea that anyone could rig an American election.""  Check out his statement - Witch Hunt!",2017-06-27T02:24:30Z
879405223399350272,iPhone,Very grateful for the 9-O decision from the U. S. Supreme Court. We must keep America SAFE!,2017-06-26T18:25:18Z
879326984794517507,iPhone,"Republican Senators are working very hard to get there, with no help from the Democrats. Not easy! Perhaps just let OCare crash &amp; burn!",2017-06-26T13:14:24Z
879324620159160322,iPhone,"..under a magnifying glass, they have zero ""tapes"" of T people colluding. There is no collusion &amp; no obstruction. I should be given apology!",2017-06-26T13:05:01Z
879323238425395200,iPhone,The real story is that President Obama did NOTHING after being informed in August about Russian meddling. With 4 months looking at Russia...,2017-06-26T12:59:31Z
879320905608044544,iPhone,"...and did not want to ""rock the boat."" He didn't ""choke,"" he colluded or obstructed, and it did the Dems and Crooked Hillary no good.",2017-06-26T12:50:15Z
879317636164841474,iPhone,The reason that President Obama did NOTHING about Russia after being notified by the CIA of meddling is that he expected Clinton would win..,2017-06-26T12:37:16Z
879315860178993152,iPhone,"The Democrats have become nothing but OBSTRUCTIONISTS, they have no policies or ideas. All they do is delay and complain.They own ObamaCare!",2017-06-26T12:30:12Z
878946025662296064,iPhone,Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!,2017-06-25T12:00:37Z
878725385235701761,iPhone,MAKE AMERICA GREAT AGAIN!,2017-06-24T21:23:52Z
878717095701336064,iPhone,I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!,2017-06-24T20:50:56Z
878715504063643648,iPhone,"Obama Administration official said they ""choked"" when it came to acting on Russian meddling of election. They didn't want to hurt Hillary?",2017-06-24T20:44:36Z
878711517537083392,iPhone,"Since the Obama Administration was told way before the 2016 Election that the Russians were meddling, why no action? Focus on them, not T!",2017-06-24T20:28:46Z
